n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-olesen_aigrettes	0,688511067	0,94373547	111,55	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,888140785	0,493462475	215,137	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,033259661	0,475184055	0,364	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,120979067	0,464854768	0,874	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,799107677	0,072079779	311,675	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,676959071	0,058226177	207,672	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,792486481	0,491632553	286,534	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,401527465	0,890930988	57,079	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,674062209	0,871356642	245,03	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,871902392	0,263627307	378,528	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,91346019	0,136825874	234,154	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,161077061	0,080165523	80,742	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,255269754	0,672588384	13,44	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,713854171	0,963361304	194,294	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,256280055	0,09849105	68,472	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,758354099	0,147009285	258,873	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,723055371	0,151653018	172,071	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,691192101	0,383320591	267,545	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,242587547	0,590184958	19,777	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,051919708	0,057824437	18,853	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,960485783	0,41655983	182,276	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,788478214	0,380076743	192,159	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,249649692	0,141762469	18,363	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,335353323	0,30790474	59,912	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,542036371	0,654555088	49,367	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,303510813	0,010986338	118,647	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,203379903	0,469881146	111,595	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,34200212	0,6390064	41,972	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,588232924	0,082984227	170,134	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,810928929	0,824068621	388,826	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,688494792	0,824799089	38,481	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,344783571	0,360995593	164,375	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,920298785	0,063271774	330,254	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,901204056	0,540728286	155,599	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,810389928	0,015261497	247,165	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,342148045	0,971742194	37,438	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,101738552	0,223878891	29,534	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,653434097	0,48283221	188,629	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,427272542	0,433469196	168,091	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,029273238	0,928842555	0,957	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,428503028	0,116646958	94,502	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,31289519	0,229700877	82,629	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,767779466	0,81376376	228,018	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,33728365	0,713561467	140,573	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,597603802	0,499828839	99,025	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,209332759	0,170685421	74,834	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,162815863	0,643893975	10,256	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,545791793	0,122031256	191,564	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,135964763	0,095255024	2,975	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,993135195	0,069653964	376,725	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,366314392	0,526087101	94,513	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,593477257	0,695888642	91,09	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,496603491	0,564107704	109,541	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,436598085	0,96302444	57,492	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,322818274	0,579843693	25,289	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,235004513	0,204665818	23,396	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,730147458	0,743032882	176,201	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,090757407	0,833469552	6,797	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,011691344	0,255440767	0,18	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,349824883	0,079289557	64,013	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,797459122	0,730548198	76,018	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,214949757	0,09374429	21,842	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,357701531	0,373256801	26,398	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,47726687	0,443107014	226,609	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,603479327	0,627415525	53,315	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,882807671	0,558864721	188,876	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,43187967	0,282650067	194,907	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,930013542	0,643245849	39,95	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,150901188	0,75439248	2,925	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,422316263	0,537127178	34,137	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,96324196	0,23668328	258,059	27	0,071	5,24	7,211
