File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-olesen_aigrettes_final_control_13.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_14.txt	5	0.507545	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_15.txt	4	0.505102	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_16.txt	5	0.578450	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_17.txt	5	0.456633	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_18.txt	5	0.427755	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_19.txt	6	0.422477	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_2.txt	5	0.497600	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_20.txt	5	0.418750	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_21.txt	4	0.504683	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_22.txt	5	0.497449	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_23.txt	5	0.436735	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_24.txt	5	0.447917	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_25.txt	4	0.492196	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_26.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_27.txt	5	0.537600	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_28.txt	4	0.427734	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_29.txt	4	0.401927	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_3.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_30.txt	4	0.448491	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_4.txt	6	0.453032	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_5.txt	5	0.556800	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_6.txt	5	0.430055	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_7.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_8.txt	5	0.412037	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_9.txt	4	0.362155	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_1.txt	5	0.333580	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_10.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_11.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_12.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_13.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_14.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_init_15.txt	4	0.340237	0.000000	0.000000
